country,current,Previous,AbsoluteChange,RelativeChange
Afghanistan,2057,"$2,058",+$1,0%
Africa Eastern and Southern,3547,"$3,570",+$23,1%
Africa Western and Central,4107,"$4,100",-$7,0%
Albania,12292,"$12,771",+$479,4%
Algeria,11826,"$11,737",-$89,-1%
Angola,7569,"$7,311",-$258,-3%
Antigua and Barbuda,19420,"$19,840",+$421,2%
Arab World,14612,"$14,529",-$83,-1%
Argentina,23190,"$23,597",+$408,2%
Armenia,11303,"$12,115",+$812,7%
Aruba,38315,"$38,897",+$582,2%
Australia,48197,"$48,483",+$285,1%
Austria,53269,"$54,170",+$901,2%
Azerbaijan,14239,"$14,121",-$117,-1%
Bahamas,35558,"$36,298",+$740,2%
Bahrain,47938,"$47,710",-$228,0%
Bangladesh,3920,"$4,161",+$241,6%
Barbados,15738,"$15,789",+$51,0%
Belarus,17823,"$18,280",+$458,3%
Belgium,49829,"$50,442",+$613,1%
Belize,7207,"$7,194",-$13,0%
Benin,2961,"$3,045",+$83,3%
Bermuda,78149,"$81,835","+$3,686",5%
Bhutan,10775,"$11,142",+$367,3%
Bolivia,8203,"$8,424",+$221,3%
Bosnia and Herzegovina,13194,"$13,754",+$560,4%
Botswana,17117,"$17,254",+$136,1%
Brazil,14451,"$14,525",+$73,1%
Brunei,60867,"$60,995",+$127,0%
Bulgaria,20513,"$21,387",+$874,4%
Burkina Faso,1981,"$2,044",+$63,3%
Burundi,795,$774,-$21,-3%
Cambodia,3734,"$3,928",+$195,5%
Cameroon,3524,"$3,555",+$30,1%
Canada,47458,"$48,317",+$860,2%
Cape Verde,6483,"$6,643",+$160,2%
Caribbean Small States,15805,"$15,747",-$59,0%
Cayman Islands,68485,"$69,753","+$1,269",2%
Central African Republic,884,$913,+$28,3%
Central Europe and the Baltics,28387,"$29,879","+$1,491",5%
Chad,1687,"$1,587",-$100,-6%
Chile,24531,"$24,471",-$61,0%
China,13488,"$14,344",+$857,6%
Colombia,14195,"$14,171",-$23,0%
Comoros,2988,"$3,032",+$44,1%
Congo,4551,"$4,242",-$310,-7%
Costa Rica,19737,"$20,347",+$610,3%
Cote d'Ivoire,4616,"$4,831",+$215,5%
Croatia,25600,"$26,800","+$1,200",5%
Curacao,26010,"$25,475",-$534,-2%
Cyprus,36524,"$38,051","+$1,527",4%
Czechia,37015,"$38,825","+$1,810",5%
Democratic Republic of Congo,1056,"$1,060",+$4,0%
Denmark,54185,"$55,357","+$1,172",2%
Djibouti,4710,"$4,885",+$176,4%
Dominica,12155,"$11,304",-$851,-7%
Dominican Republic,16167,"$16,735",+$569,4%
Early-demographic dividend,8845,"$9,159",+$315,4%
East Asia & Pacific,15602,"$16,338",+$736,5%
East Asia & Pacific (IDA & IBRD),12406,"$13,123",+$717,6%
East Asia & Pacific (excluding high income),12276,"$12,986",+$710,6%
