country,INDICATOR,SUBJECT,MEASURE,FREQUENCY,2014,2015,2016,2017,2018,2019
Afghanistan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,62.722,61.412,57.966,54.031,53.432,52.998
Albania,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,19.817,19.425,17.691,18.869,18.66,18.46
Algeria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,32.01,33.601,32.901,32.665,32.761,32.916
Angola,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,28.475,29.276,29.265,28.052,28.317,28.022
Argentina,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,14.115,14.937,14.452,13.952,13.973,13.847
Armenia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,38.755,38.118,34.872,35.557,34.639,34.241
Australia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,6.877,6.848,6.822,6.673,6.741,6.749
Austria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,12.913,13.453,12.391,12.023,12.385,12.225
Azerbaijan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,28.289,26.816,25.058,25.803,25.884,26.269
Bahrain,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,58.959,65.714,61.124,61.12,59.88,58.662
Bangladesh,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,73.372,69.081,67.908,62.824,63.39,63.545
Belarus,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,20.489,18.733,16.906,16.59,16.666,16.572
Belgium,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,12.908,13.265,12.437,12.891,12.82,12.726
Benin,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,39.025,48.557,46.11,44.611,45.719,46.237
Bhutan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,48.562,44.497,43.646,40.249,40.473,40.374
Bolivia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,28.543,29.543,28.391,27.937,27.717,27.488
Bosnia and Herzegovina,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,32.558,33.857,29.593,30.775,30.781,30.287
Botswana,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,25.672,26.6,25.651,25.393,25.475,25.329
Brazil,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,12.988,11.688,11.42,11.669,11.634,11.666
Brunei Darussalam,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,7.772,7.952,7.68,7.38,7.72,7.72
Bulgaria,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,22.244,20.864,19.951,20.223,20.213,19.927
Burkina Faso,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,48.429,60.279,56.265,53.549,53.665,53.685
Burundi,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,34.964,35.837,35.549,32.893,33.811,33.324
Cambodia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,24.314,24.118,24.889,22.085,22.339,22.136
Cameroon,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,57.778,71.141,66.837,63.753,65.457,66.154
Canada,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,7.498,7.283,6.207,7.278,7.073,7.09
Central African Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,42.844,48.644,46.04,44.878,46.622,46.897
Chad,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,53.489,64.14,59.853,59.552,59.321,59.426
Chile,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,23.203,24.495,24.729,22.81,23.639,23.683
China (People's Republic of),POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,60.319,56.262,51.644,49.983,49.333,47.729
Chinese Taipei,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,26.912,26.357,23.396,23.447,23.803,23.534
Colombia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,24.424,23.456,23.254,22.566,22.639,22.525
Congo,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,38.83,42.221,40.827,38.642,39.683,39.25
Costa Rica,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,18.307,18.582,17.925,17.462,17.542,17.436
Côte d'Ivoire,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,48.23,63.771,61.666,55.332,55.897,55.925
Croatia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,19.266,19.639,17.484,18.077,18.375,18.227
Cuba,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,19.808,20.309,19.599,18.606,18.451,17.955
Cyprus,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,16.665,17.407,14.624,15.356,15.814,15.793
Czech Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,18.334,17.808,16.886,16.919,17.166,16.965
Democratic People's Republic of Korea,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,50.002,47.968,43.521,43.514,45.142,45.183
Democratic Republic of the Congo,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,36.745,40.429,38.143,35.846,36.823,36.273
Denmark,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,11.056,10.185,9.302,10.288,9.873,9.785
Dominican Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,17.827,18.628,18.179,18.153,18.151,18.145
Ecuador,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,21.547,21.736,21.445,19.899,20.716,20.606
Egypt,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,72.013,73.106,66.714,66.953,68.489,67.915
El Salvador,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,24.486,25.614,23.549,23.152,22.778,22.349
Equatorial Guinea,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,40.67,50.104,48.368,44.578,46.603,47.034
Eritrea,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,39.917,43.648,41.969,44.349,44.135,44.779
Estonia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,8.177,6.617,6.57,5.726,6.042,5.95
Eswatini,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,23.127,23.479,22.111,23.436,23.208,23.367
Ethiopia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,33.021,34.448,33.662,33.971,33.899,33.833
Euro area (19 countries),POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,12.749,13.281,12.103,12.256,12.326,12.208
"European Union (27 countries, 2020)",POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,14.21,14.438,13.294,13.559,13.605,13.475
European Union (28 countries),POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,13.779,13.913,12.893,13.142,13.158,13.035
Fiji,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,10.628,10.505,10.959,10.936,10.854,10.859
Finland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,6.49,5.719,5.68,5.334,5.675,5.638
France,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,11.509,12.232,11.439,11.387,11.492,11.367
G20,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,51.133,48.053,47.48,43.967,44.12,43.647
G7,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,10.877,10.842,10.082,10.369,10.365,10.271
Gabon,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,34.521,40.574,39.695,35.768,37.549,37.438
Gambia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,53.686,61.846,57.608,61.527,58.125,58.215
Georgia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,19.993,19.021,18.199,18.501,18.241,18.247
