data__coordinates__x,data__coordinates__y
4033,498
4143,490
4104,499
4107,476
4182,482
4154,473
4124,517
4114,470
4107,507
4158,468
4129,372
4145,302
4158,317
4187,318
4174,371
4188,382
4191,333
4224,324
4250,312
4256,384
4285,362
4338,422
4326,368
4314,324
4322,354
4346,400
4321,382
4366,375
4432,396
4411,384
4422,425
4435,386
4441,392
4499,332
4449,417
4468,438
4488,444
4475,633
4483,399
4481,344
4528,431
4507,416
4522,378
4532,394
4556,371
4560,370
4575,393
4584,346
4610,320
4640,333
4667,320
4615,280
4641,317
4681,342
4741,368
4740,376
4733,283
4768,322
4777,331
4828,360
4826,381
4869,388
4835,316
4875,349
4886,345
4849,388
4867,386
4857,405
4862,386
4942,411
4960,434
4980,471
4960,433
4979,471
5021,446
5006,437
4975,420
5014,464
5024,436
5024,405
5046,339
5071,403
5077,393
5117,338
5117,286
5142,375
5142,375
5172,369
5181,382
5193,444
5194,453
5221,388
5240,366
5243,411
5291,484
5284,410
5264,370
5294,366
5297,460
5303,415
5375,483
5387,394
5410,438
5397,394
5402,416
5437,500
5430,479
5380,362
5473,471
5496,418
5497,386
5321,228
5738,645
5647,441
5644,503
5606,441
5632,491
5543,349
5535,303
5661,459
5600,282
5579,342
5626,342
5954,797
5805,610
5791,539
5658,348
5703,322
5977,752
6011,862
5652,287
5710,322
5758,335
5841,416
5888,529
5846,449
6031,704
6038,772
5862,379
5882,500
5924,466
5937,473
5884,454
5900,395
5893,363
5900,279
6141,765
6162,722
6194,736
6201,734
6197,667
6218,682
6252,645
6230,671
7195,1794
6250,688
5911,142
5952,150
6017,166
5956,153
6204,437
6320,630
6368,721
6379,666
6384,698
6373,667
6343,597
6338,580
6368,543
6376,620
6375,559
6347,534
6333,466
6377,435
6287,401
6333,426
6376,480
6373,461
6360,305
6299,205
6414,369
6398,337
6458,423
6517,506
6517,451
6507,330
6534,481
6497,405
6528,450
6536,442
6543,476
6542,468
6521,415
6552,412
6585,534
6551,315
6544,330
6552,319
6523,285
6535,205
6545,291
6540,-104
6567,250
6599,300
6598,296
6638,325
6650,321
6643,288
6651,284
6643,292
6664,253
6704,331
6741,457
6734,421
6734,334
6764,368
6766,408
6753,394
6768,416
6768,322
6797,304
6870,463
6880,456
6941,468
6856,382
6952,524
7052,591
6871,383
7074,671
7056,650
7091,652
7103,740
6989,495
7071,655
7110,780
7075,690
7102,675
7133,750
7110,659
7175,799
7143,694
7143,771
7046,633
6933,343
7224,772
7134,614
7130,597
7432,1043
7063,436
7499,1114
7262,812
7215,757
7272,830
7256,893
7253,840
7263,784
7305,802
7285,879
7312,958
7262,1076
7316,1148
7297,1215
7316,1181
7304,1136
7348,1150
7322,1182
6788,-1272
7331,1229
7427,1604
7303,1141
7300,1156
7326,1106
7364,1336
7323,1183
7299,1109
7313,1197
7343,1256
7314,1243
7322,1166
7341,1193
7413,1471
7333,1173
7393,1237
7431,1555
7463,1621
7381,1266
7359,1243
7388,1513
7407,1576
7382,1505
7372,1442
7417,1536
7437,1573
7412,1522
7377,1346
7398,1485
7423,1472
7376,1483
7388,1425
7399,1366
7385,1367
7378,1421
7368,1464
7379,1484
7374,1433
7363,1433
7382,1457
7363,1474
7402,1455
7362,1571
7423,1454
7383,1473
7400,1499
7411,1378
7429,1519
7418,1561
7417,1580
7407,1602
7417,1523
7396,1603
7418,1442
7395,1586
7354,1664
7396,1565
7395,1584
7400,1656
7386,1603
7410,1670
7385,1677
7386,1619
7377,1749
7351,1737
7383,1697
7370,1791
7417,1702
7355,1851
7364,1856
7364,1856
7381,1907
7365,1968
7351,1907
7330,1909
7371,1904
7373,1874
7339,1928
7333,1900
7358,1936
7364,1856
7366,1847
7321,1907
7296,1966
7309,1943
7364,1856
7524,2409
7335,1822
